"Plugin","Gutenberg-Compatible","Compatibility Reason","Active Installs"
"ad-codez-widget","unknown","","0"
"ad-injection","unknown","","30000"
"ad-inserter","testing","","100000"
"ad-invalid-click-protector","unknown","","4000"
"ad-squares-widget","unknown","","8000"
"ad-widget","unknown","","20000"
"adamrob-parallax-scroll","unknown","","10000"
"adaptive-images","unknown","","7000"
"adblock-notify-by-bweb","unknown","","10000"
"add-actions-and-filters","unknown","","4000"
"add-admin-css","unknown","","10000"
"add-category-to-pages","unknown","","10000"
"add-code-to-head","unknown","","4000"
"add-custom-post-types-archive-to-nav-menus","unknown","","3000"
"add-descendants-as-submenu-items","unknown","","3000"
"add-facebook","unknown","","9000"
"add-from-server","no","Some editor UI is missing","90000"
"add-full-svg-support","unknown","","4000"
"add-instagram","unknown","","6000"
"add-link-to-facebook","unknown","","0"
"add-local-avatar","unknown","","9000"
"add-logo-to-admin","likely_yes","Doesn't include editor functionality","20000"
"add-meta-tags","likely_no","","90000"
"add-multiple-users","unknown","","4000"
"add-new-default-avatar","unknown","","3000"
"add-pinterest-follow-button","unknown","","3000"
"add-posts-to-pages","unknown","","10000"
"add-search-to-menu","unknown","","8000"
"add-tags-and-category-to-page","unknown","","5000"
"add-to-all","likely_yes","Doesn't include editor functionality","4000"
"add-to-any","yes","Existing functionality works in Gutenberg","500000"
"add-to-any-subscribe","unknown","","9000"
"add-to-cart-button-custom-text","unknown","","3000"
"add-to-home-screen-wp","unknown","","4000"
"add-widget-after-content","unknown","","6000"
"add-widgets-to-page","unknown","","3000"
"addfunc-head-footer-code","unknown","","20000"
"additional-image-sizes","unknown","","4000"
"additional-image-sizes-zui","unknown","","4000"
"addon-elements-for-elementor-page-builder","unknown","","20000"
"addon-library","unknown","","5000"
"addon-so-widgets-bundle","unknown","","30000"
"addons-for-elementor","unknown","","20000"
"addons-for-visual-composer","unknown","","30000"
"addquicktag","no","Doesn't include editor functionality","100000"
"addthis","likely_yes","Existing functionality works in Gutenberg","200000"
"addthis-all","unknown","","5000"
"addthis-follow","unknown","","10000"
"addthis-smart-layers","unknown","","9000"
"adjust-admin-categories","unknown","","3000"
"adman","unknown","","9000"
"admin-bar","unknown","","7000"
"admin-bar-dashboard-control","unknown","","4000"
"admin-bar-disabler","unknown","","10000"
"admin-branding","likely_yes","Doesn't include editor functionality","6000"
"admin-branding-and-tweaks","unknown","","3000"
"admin-category-filter","unknown","","3000"
"admin-collapse-subpages","unknown","","5000"
"admin-color-schemer","unknown","","3000"
"admin-color-schemes","unknown","","5000"
"admin-css-mu","unknown","","3000"
"admin-custom-login","likely_yes","Doesn't include editor functionality","50000"
"admin-customizer","unknown","","3000"
"admin-dashboard-site-notes","unknown","","3000"
"admin-in-english","unknown","","6000"
"admin-language-per-user","unknown","","5000"
"admin-locale","unknown","","4000"
"admin-log","unknown","","6000"
"admin-management-xtended","unknown","","10000"
"admin-menu-editor","yes","Doesn't include editor functionality","200000"
"admin-menu-tree-page-view","unknown","","30000"
"admin-post-navigation","unknown","","20000"
"admin-renamer-extended","unknown","","7000"
"adminer","unknown","","0"
"adminimize","likely_yes","Doesn't include editor functionality","200000"
"adrotate","unknown","","50000"
"ads-by-datafeedrcom","unknown","","10000"
"ads-wp-site-count","unknown","","5000"
"adsense-click-fraud-monitoring","unknown","","0"
"adsense-in-post-ads-by-oizuled","unknown","","4000"
"adsense-manager","unknown","","20000"
"adsense-plugin","unknown","","10000"
"adsense-privacy-policy","unknown","","4000"
"adsensei-b30","unknown","","6000"
"adsplacer","unknown","","4000"
"advanced-access-manager","no","Doesn't include editor functionality","80000"
"advanced-ads","unknown","","50000"
"advanced-backgrounds","unknown","","4000"
"advanced-booking-calendar","unknown","","3000"
"advanced-browser-check","unknown","","7000"
"advanced-categories-widget","unknown","","3000"
"advanced-category-excluder","unknown","","5000"
"advanced-code-editor","unknown","","0"
"advanced-content-pagination","unknown","","3000"
"advanced-cron-manager","unknown","","7000"
"advanced-css-editor","unknown","","10000"
"advanced-custom-field-repeater-collapser","unknown","","10000"
"advanced-custom-fields","yes","Existing functionality works in Gutenberg","1000000"
"advanced-custom-fields-categories","unknown","","3000"
"advanced-custom-fields-contact-form-7-field","unknown","","9000"
"advanced-custom-fields-coordinates","unknown","","4000"
"advanced-custom-fields-font-awesome","unknown","","40000"
"advanced-custom-fields-limiter-field","unknown","","3000"
"advanced-custom-fields-location-field-add-on","unknown","","8000"
"advanced-custom-fields-nav-menu-field","unknown","","10000"
"advanced-custom-fields-oembed-field","unknown","","4000"
"advanced-custom-fields-rgba-color","unknown","","3000"
"advanced-custom-fields-table-field","unknown","","10000"
"advanced-custom-fields-taxonomy-field-add-on","unknown","","3000"
"advanced-database-cleaner","likely_yes","Doesn't include editor functionality","20000"
"advanced-excerpt","testing","","100000"
"advanced-floating-content-lite","unknown","","7000"
"advanced-iframe","unknown","","40000"
"advanced-image-styles","unknown","","30000"
"advanced-menu-widget","unknown","","10000"
"advanced-most-recent-posts-mod","unknown","","4000"
"advanced-nocaptcha-recaptcha","likely_yes","Doesn't include editor functionality","9000"
"advanced-page-manager","unknown","","6000"
"advanced-post-list","unknown","","6000"
"advanced-post-manager","unknown","","7000"
"advanced-post-slider","unknown","","10000"
"advanced-random-posts","unknown","","6000"
"advanced-random-posts-widget","unknown","","20000"
"advanced-recent-posts","unknown","","10000"
"advanced-recent-posts-widget","unknown","","10000"
"advanced-reset-wp","unknown","","3000"
"advanced-responsive-video-embedder","testing","","60000"
"advanced-sidebar-menu","unknown","","30000"
"advanced-sitemap-generator","unknown","","3000"
"advanced-spoiler","unknown","","6000"
"advanced-text-widget","unknown","","10000"
"advanced-tinymce-configuration","unknown","","9000"
"advanced-twenty-seventeen","unknown","","7000"
"advanced-uploader","unknown","","3000"
"advanced-woo-search","unknown","","10000"
"advanced-wp-columns","unknown","","40000"
"advanced-wp-reset","likely_yes","Doesn't include editor functionality","40000"
"advertising-manager","unknown","","0"
"adwords-conversion-tracking-code","unknown","","8000"
"aesop-story-engine","unknown","","5000"
"affiliate-link-cloaking","unknown","","6000"
"affiliate-links","unknown","","5000"
"affiliates","unknown","","7000"
"affiliates-manager","unknown","","9000"
"affiliates-woocommerce-light","unknown","","3000"
"affilinet-performance-module","unknown","","30000"
"after-the-deadline","unknown","","4000"
"aftership-woocommerce-tracking","unknown","","10000"
"ag-custom-admin","unknown","","40000"
"age-gate","unknown","","3000"
"age-verify","unknown","","6000"
"agentpress-listings","unknown","","5000"
"agp-font-awesome-collection","unknown","","10000"
"ai-twitter-feeds","unknown","","5000"
"ajax-contact","unknown","","3000"
"ajax-event-calendar","unknown","","0"
"ajax-load-more","unknown","","30000"
"ajax-search-for-woocommerce","unknown","","7000"
"ajax-search-lite","unknown","","20000"
"ajax-thumbnail-rebuild","testing","","90000"
"ajaxy-search-form","unknown","","0"
"akeebabackupcore","likely_yes","Doesn't include editor functionality","0"
"akfeatured-post-widget","unknown","","3000"
"akismet","yes","Doesn't include editor functionality","5000000"
"akismet-privacy-policies","unknown","","50000"
"album-and-image-gallery-plus-lightbox","unknown","","8000"
"alexa-internet","unknown","","10000"
"all-404-redirect-to-homepage","yes","Doesn't include editor functionality","100000"
"all-in-one-buttons","unknown","","6000"
"all-in-one-cufon","unknown","","3000"
"all-in-one-event-calendar","likely_yes","Doesn't include editor functionality","100000"
"all-in-one-favicon","yes","Doesn't include editor functionality","100000"
"all-in-one-intranet","unknown","","4000"
"all-in-one-schemaorg-rich-snippets","yes","Existing functionality works in Gutenberg","70000"
"all-in-one-seo-pack","no","Meta box doesn't work as expected","3000000"
"all-in-one-seo-pack-importer","unknown","","3000"
"all-in-one-seo-pack-qtranslate-x","unknown","","10000"
"all-in-one-webmaster","likely_yes","Doesn't include editor functionality","20000"
"all-in-one-wp-migration","likely_yes","Doesn't include editor functionality","1000000"
"all-in-one-wp-security-and-firewall","yes","Doesn't include editor functionality","600000"
"all-meta-tags","unknown","","10000"
"allfacebook-instant-articles","unknown","","4000"
"alligator-popup","unknown","","6000"
"allow-html-in-category-descriptions","unknown","","10000"
"allow-multiple-accounts","unknown","","10000"
"allow-php-execute","unknown","","5000"
"allow-php-in-posts-and-pages","unknown","","20000"
"allow-swf-upload","unknown","","3000"
"alo-easymail","unknown","","10000"
"alpine-photo-tile-for-instagram","unknown","","0"
"alpine-photo-tile-for-picasa-and-google-plus","unknown","","3000"
"alpine-photo-tile-for-pinterest","unknown","","4000"
"always-edit-in-html","unknown","","5000"
"amazing-hover-effects","unknown","","4000"
"amazon-associates-link-builder","unknown","","40000"
"amazon-auto-links","unknown","","5000"
"amazon-link","unknown","","9000"
"amazon-product-in-a-post-plugin","unknown","","5000"
"amazon-s3-and-cloudfront","unknown","","30000"
"amazon-web-services","likely_yes","Doesn't include editor functionality","40000"
"amazonjs","unknown","","20000"
"amazonsimpleadmin","unknown","","6000"
"ambrosite-nextprevious-post-link-plus","unknown","","10000"
"amcharts-charts-and-maps","unknown","","3000"
"amo-team-showcase","unknown","","3000"
"amp","yes","Doesn't include editor functionality","200000"
"amr-ical-events-list","unknown","","3000"
"amr-shortcode-any-widget","testing","","80000"
"amr-users","unknown","","4000"
"analytics-cat","likely_yes","Doesn't include editor functionality","5000"
"analytics-code","likely_yes","Doesn't include editor functionality","40000"
"analytics-counter","likely_yes","Doesn't include editor functionality","50000"
"analytics-for-wp","likely_yes","Doesn't include editor functionality","10000"
"analytics-tracker","likely_yes","Doesn't include editor functionality","5000"
"analytics360","likely_yes","Doesn't include editor functionality","0"
"animate-it","unknown","","40000"
"animated-gif-resize","unknown","","3000"
"animated-typing-effect","unknown","","7000"
"ank-google-map","unknown","","10000"
"another-mailchimp-widget","unknown","","5000"
"another-wordpress-classifieds-plugin","unknown","","10000"
"anspress-question-answer","unknown","","4000"
"anti-captcha","likely_yes","Doesn't include editor functionality","7000"
"anti-spam","likely_yes","Doesn't include editor functionality","100000"
"antispam-bee","yes","Doesn't include editor functionality","300000"
"antivirus","yes","Existing functionality works in Gutenberg","90000"
"anual-archive","unknown","","10000"
"any-hostname","unknown","","3000"
"any-mobile-theme-switcher","unknown","","30000"
"anything-popup","unknown","","10000"
"anywhere-elementor","unknown","","10000"
"ap-custom-testimonial","unknown","","5000"
"ap-mega-menu","unknown","","4000"
"api-key-for-google-maps","testing","","90000"
"app-your-wordpress-uppsite","unknown","","0"
"appbanners","unknown","","3000"
"application-passwords","yes","Doesn't include editor functionality","3000"
"apply-online","unknown","","4000"
"appointment-booking-calendar","unknown","","5000"
"appointment-calendar","unknown","","4000"
"appointment-scheduler-weblizar","unknown","","3000"
"appointments","unknown","","7000"
"apppresser","unknown","","4000"
"aqua-page-builder","unknown","","20000"
"arabic-webfonts","unknown","","6000"
"archived-post-status","unknown","","8000"
"archives-calendar-widget","unknown","","5000"
"arconix-faq","unknown","","10000"
"arconix-shortcodes","unknown","","10000"
"are-you-robot-recaptcha","likely_yes","Doesn't include editor functionality","3000"
"ari-adminer","likely_yes","Doesn't include editor functionality","10000"
"ari-fancy-lightbox","unknown","","3000"
"arrow-twitter-feed","unknown","","4000"
"arscode-social-slider-free","unknown","","8000"
"artiss-transient-cleaner","likely_yes","Doesn't include editor functionality","8000"
"aryo-activity-log","yes","Doesn't include editor functionality","70000"
"aryo-widget-device","unknown","","8000"
"asesor-cookies-para-la-ley-en-espana","testing","","80000"
"asgaros-forum","unknown","","10000"
"aspexi-facebook-like-box","unknown","","6000"
"aspose-doc-exporter","unknown","","3000"
"astickypostorderer","unknown","","4000"
"astra-sites","unknown","","8000"
"async-javascript","unknown","","30000"
"async-js-and-css","unknown","","10000"
"athemes-toolbox","unknown","","7000"
"attachment-importer","unknown","","3000"
"attachment-pages-redirect","unknown","","10000"
"attachments","unknown","","20000"
"auction-nudge","unknown","","3000"
"audience-analytics-by-quantcast","likely_yes","Doesn't include editor functionality","3000"
"audio-album","unknown","","4000"
"audio-and-video-player","unknown","","4000"
"audio-player","unknown","","0"
"audit-trail","unknown","","10000"
"authenticator","unknown","","4000"
"author-avatars","unknown","","9000"
"author-bio-box","unknown","","4000"
"author-category","unknown","","3000"
"author-hreview","unknown","","3000"
"authorizenet-payment-gateway-for-woocommerce","unknown","","8000"
"authorizenet-woocommerce-addon","unknown","","5000"
"authors","unknown","","6000"
"authorsure","unknown","","7000"
"authy-two-factor-authentication","unknown","","0"
"auto-excerpt-everywhere","unknown","","7000"
"auto-featured-image","unknown","","4000"
"auto-hide-admin-bar","unknown","","5000"
"auto-highslide","unknown","","0"
"auto-hyperlink-urls","unknown","","9000"
"auto-iframe","unknown","","7000"
"auto-limit-posts-reloaded","unknown","","4000"
"auto-more-tag","unknown","","3000"
"auto-ping-booster","unknown","","10000"
"auto-post-scheduler","unknown","","10000"
"auto-post-thumbnail","likely_no","","100000"
"auto-refresh-single-page","unknown","","3000"
"auto-submenu","unknown","","5000"
"auto-terms-of-service-and-privacy-policy","yes","Doesn't include editor functionality","100000"
"auto-thickbox","unknown","","7000"
"auto-thickbox-plus","unknown","","0"
"auto-update-plugins","unknown","","3000"
"auto-upload-images","unknown","","10000"
"autoblog","unknown","","0"
"autochimp","unknown","","6000"
"autodescription","yes","Existing functionality works in Gutenberg","40000"
"automatic-copyright-year","unknown","","3000"
"automatic-domain-changer","unknown","","10000"
"automatic-featured-images-from-videos","unknown","","6000"
"automatic-image-alt-attributes","unknown","","3000"
"automatic-plugin-updates","unknown","","10000"
"automatic-post-tagger","unknown","","10000"
"automatic-responsive-tables","unknown","","5000"
"automatic-seo-links","unknown","","5000"
"automatic-updater","yes","Doesn't include editor functionality","100000"
"automatic-wordpress-backup","likely_yes","Doesn't include editor functionality","3000"
"automatic-youtube-video-posts","unknown","","4000"
"automatically-paginate-posts","unknown","","3000"
"automatically-remove-links-from-posts","unknown","","6000"
"autoptimize","yes","Doesn't include editor functionality","500000"
"autoset-featured-image","unknown","","9000"
"auxin-elements","unknown","","3000"
"avatar","unknown","","4000"
"avatar-manager","unknown","","10000"
"avh-first-defense-against-spam","unknown","","8000"
"aweber-web-form-widget","unknown","","10000"
"awebooking","unknown","","6000"
"awesome-filterable-portfolio","unknown","","4000"
"awesome-flickr-gallery-plugin","unknown","","10000"
"awesome-gallery","unknown","","4000"
"awesome-support","unknown","","7000"
"awesome-surveys","unknown","","3000"
"awesome-weather","unknown","","40000"
"awesome-widgets-for-siteorigin-page-builder","unknown","","3000"
"azera-shop-companion","unknown","","5000"
"azigen","unknown","","3000"
"azindex","unknown","","3000"
"azurecurve-toggle-showhide","unknown","","3000"
"background-manager","unknown","","0"
"background-music-player-lite","unknown","","4000"
"background-per-page","unknown","","3000"
"background-update-tester","unknown","","4000"
"backlinks-saver","unknown","","10000"
"backup","likely_yes","Doesn't include editor functionality","80000"
"backup-scheduler","likely_yes","Doesn't include editor functionality","4000"
"backup-wd","likely_yes","Doesn't include editor functionality","7000"
"backup-with-restore","likely_yes","Doesn't include editor functionality","0"
"backup-wp","likely_yes","Doesn't include editor functionality","0"
"backupwordpress","likely_yes","Doesn't include editor functionality","200000"
"backwpup","likely_yes","Doesn't include editor functionality","600000"
"bad-behavior","unknown","","40000"
"badgeos","unknown","","9000"
"badgeos-community-add-on","unknown","","5000"
"baidu-sitemap-generator","likely_yes","Doesn't include editor functionality","20000"
"bamboo-columns","unknown","","4000"
"ban-hammer","unknown","","4000"
"bandsintown","unknown","","5000"
"banner-upload","unknown","","4000"
"basic-google-maps-placemarks","unknown","","10000"
"basic-seo-pack","unknown","","6000"
"basic-user-avatars","unknown","","10000"
"batcache","unknown","","3000"
"batch-cat","unknown","","7000"
"batch-comment-spam-deletion","unknown","","3000"
"batchmove","unknown","","4000"
"baw-login-logout-menu","likely_yes","Doesn't include editor functionality","40000"
"baw-manual-related-posts","unknown","","4000"
"baw-post-views-count","unknown","","20000"
"bazz-callback-widget","unknown","","5000"
"bb-header-footer","unknown","","7000"
"bbp-private-groups","unknown","","3000"
"bbp-style-pack","unknown","","6000"
"bbpress","likely_yes","Doesn't include editor functionality","300000"
"bbpress-enable-tinymce-visual-tab","unknown","","5000"
"bbpress-notify-nospam","unknown","","4000"
"bbpress-wp-tweaks","unknown","","3000"
"bbs-e-popup","unknown","","3000"
"bbspoiler","unknown","","9000"
"be-subpages-widget","unknown","","10000"
"beacon-by","unknown","","3000"
"beautiful-taxonomy-filters","unknown","","5000"
"beaver-builder-lite-version","no","Some editor UI is missing","400000"
"beeketing-for-woocommerce","unknown","","3000"
"best-favicon","unknown","","9000"
"better-amp","unknown","","10000"
"better-analytics","likely_yes","Doesn't include editor functionality","20000"
"better-anchor-links","unknown","","3000"
"better-click-to-tweet","unknown","","20000"
"better-delete-revision","likely_yes","Doesn't include editor functionality","60000"
"better-file-editor","unknown","","3000"
"better-font-awesome","no","Some editor UI is missing","100000"
"better-internal-link-search","unknown","","5000"
"better-plugin-compatibility-control","unknown","","4000"
"better-rest-api-featured-images","unknown","","5000"
"better-rss-widget","unknown","","6000"
"better-search","unknown","","8000"
"better-search-replace","likely_yes","Doesn't include editor functionality","300000"
"better-wp-security","yes","Doesn't include editor functionality","900000"
"bible-verse-of-the-day","unknown","","4000"
"bigbluebutton","unknown","","4000"
"bigcontact","unknown","","4000"
"birchschedule","unknown","","8000"
"birds-custom-login","likely_yes","Doesn't include editor functionality","9000"
"biz-calendar","unknown","","10000"
"bj-lazy-load","yes","Existing functionality works in Gutenberg","60000"
"black-studio-tinymce-widget","likely_yes","Doesn't include editor functionality","900000"
"black-studio-touch-dropdown-menu","unknown","","5000"
"blackhole-bad-bots","unknown","","6000"
"blank-slate","unknown","","10000"
"block-bad-queries","yes","Doesn't include editor functionality","80000"
"block-specific-plugin-updates","unknown","","9000"
"blog-designer","unknown","","20000"
"blog-designer-for-post-and-widget","unknown","","5000"
"blog-in-blog","unknown","","8000"
"blog-manager-light","unknown","","3000"
"blog-mechanics-theme-gallery","unknown","","4000"
"blog-protector","unknown","","0"
"blog-stats-by-w3counter","likely_yes","Doesn't include editor functionality","3000"
"blog2social","unknown","","10000"
"blogger-301-redirect","unknown","","6000"
"blogger-importer","testing","","100000"
"blogger-importer-extended","unknown","","10000"
"blogger-to-wordpress-redirection","unknown","","6000"
"bloglovin-button","unknown","","5000"
"blogvault-real-time-backup","likely_yes","Doesn't include editor functionality","20000"
"bloom","unknown","","0"
"blueimp-lightbox","unknown","","3000"
"bm-custom-login","likely_yes","Doesn't include editor functionality","20000"
"bne-testimonials","unknown","","5000"
"bnfw","unknown","","10000"
"bogo","unknown","","5000"
"bold-page-builder","unknown","","8000"
"boldgrid-easy-seo","unknown","","5000"
"booking","unknown","","40000"
"booking-calendar","unknown","","6000"
"booking-system","unknown","","10000"
"booking-ultra-pro","unknown","","4000"
"bookingcom-official-searchbox","unknown","","7000"
"bookly-responsive-appointment-booking-tool","unknown","","10000"
"bootstrap-3-shortcodes","unknown","","50000"
"bootstrap-for-contact-form-7","unknown","","40000"
"bootstrap-modals","unknown","","4000"
"bootstrap-shortcodes","unknown","","10000"
"bop-search-box-item-type-for-nav-menus","unknown","","6000"
"bot-block-stop-spam-google-analytics-referrals","likely_yes","Doesn't include editor functionality","5000"
"bottom-of-every-post","unknown","","9000"
"boxzilla","unknown","","10000"
"bp-profile-search","unknown","","10000"
"bp-registration-options","unknown","","4000"
"bp-social-connect","likely_yes","Doesn't include editor functionality","5000"
"branded-login-screen","likely_yes","Doesn't include editor functionality","3000"
"brankic-photostream-widget","unknown","","4000"
"brankic-social-media-widget","unknown","","5000"
"breadcrumb","unknown","","10000"
"breadcrumb-navigation-xt","unknown","","0"
"breadcrumb-navxt","yes","","700000"
"breadcrumb-trail","unknown","","20000"
"breadcrumbs","unknown","","30000"
"breaking-news-ticker","unknown","","3000"
"breeze","likely_yes","Doesn't include editor functionality","10000"
"breezing-forms","unknown","","3000"
"broken-link-checker","likely_yes","Doesn't include editor functionality","500000"
"broken-link-manager","unknown","","3000"
"browser-caching-with-htaccess","unknown","","6000"
"browser-shots","unknown","","8000"
"brute-force-login-protection","likely_yes","Doesn't include editor functionality","20000"
"bruteprotect","unknown","","20000"
"bsk-pdf-manager","unknown","","3000"
"buddydrive","unknown","","10000"
"buddyforms","unknown","","4000"
"buddypress","yes","Doesn't include editor functionality","200000"
"buddypress-activity-plus","unknown","","10000"
"buddypress-cover-photo","unknown","","4000"
"buddypress-docs","unknown","","9000"
"buddypress-edit-activity","unknown","","4000"
"buddypress-followers","unknown","","6000"
"buddypress-global-search","unknown","","10000"
"buddypress-group-email-subscription","unknown","","6000"
"buddypress-groups-extras","unknown","","3000"
"buddypress-learndash","unknown","","4000"
"buddypress-like","unknown","","3000"
"buddypress-media","unknown","","20000"
"buddypress-xprofile-custom-fields-type","unknown","","0"
"bulk-comment-remove","unknown","","10000"
"bulk-comments-management","unknown","","6000"
"bulk-content-creator","unknown","","4000"
"bulk-delete","unknown","","50000"
"bulk-delete-comments","unknown","","3000"
"bulk-move","unknown","","8000"
"bulk-page-creator","unknown","","20000"
"bulk-plugin-installation","unknown","","4000"
"bulk-resize-media","unknown","","5000"
"bulkpress","unknown","","10000"
"bulletproof-security","likely_yes","Doesn't include editor functionality","90000"
"business-contact-widget","unknown","","5000"
"business-directory-plugin","unknown","","20000"
"business-one-toolkit","unknown","","3000"
"business-profile","unknown","","10000"
"businessx-extensions","unknown","","8000"
"busted","unknown","","5000"
"button","unknown","","3000"
"button-visually-impaired","unknown","","3000"
"buttons-shortcode-and-widget","unknown","","10000"
"buttons-x","unknown","","10000"
"buy-one-click-woocommerce","unknown","","3000"
"bv-cloudways-automated-migration","unknown","","3000"
"bwp-google-xml-sitemaps","likely_yes","Doesn't include editor functionality","100000"
"bwp-minify","yes","Doesn't include editor functionality","80000"
"bwp-recaptcha","likely_yes","Doesn't include editor functionality","30000"
"bwp-recent-comments","unknown","","5000"
"bws-google-analytics","likely_yes","Doesn't include editor functionality","6000"
"byrev-wp-picshield-hotlink-defence","unknown","","0"
"cache-enabler","likely_yes","Doesn't include editor functionality","40000"
"cache-external-scripts","likely_yes","Doesn't include editor functionality","3000"
"cache-images","unknown","","5000"
"cachify","likely_yes","Doesn't include editor functionality","20000"
"calculated-fields-form","unknown","","30000"
"calculatorpro-calculators","unknown","","5000"
"caldera-form-metabox","unknown","","3000"
"caldera-forms","yes","Existing functionality works in Gutenberg","100000"
"calendar","unknown","","20000"
"calendar-event","unknown","","3000"
"call-now-button","yes","Doesn't include editor functionality","100000"
"callrail-phone-call-tracking","unknown","","10000"
"calpress-event-calendar","unknown","","5000"
"camera-slideshow","unknown","","3000"
"canonical","unknown","","0"
"canonical-seo-content-syndication","unknown","","4000"
"capability-manager-enhanced","yes","Doesn't include editor functionality","60000"
"capsman","unknown","","10000"
"captain-favicon","unknown","","7000"
"captainform","unknown","","20000"
"captcha","unknown","","0"
"captcha-bank","likely_yes","Doesn't include editor functionality","7000"
"captcha-code-authentication","likely_yes","Doesn't include editor functionality","10000"
"captcha-on-login","likely_yes","Doesn't include editor functionality","0"
"carbon-fields","unknown","","3000"
"cardoza-3d-tag-cloud","unknown","","5000"
"cardoza-facebook-like-box","unknown","","20000"
"carousel","unknown","","6000"
"carousel-horizontal-posts-content-slider","unknown","","10000"
"carousel-slider","unknown","","20000"
"carousel-without-jetpack","unknown","","20000"
"cartpauj-register-captcha","likely_yes","Doesn't include editor functionality","4000"
"catablog","unknown","","5000"
"catch-ids","unknown","","20000"
"catch-web-tools","unknown","","3000"
"categories-images","likely_yes","Existing functionality works in Gutenberg","80000"
"category-checklist-tree","unknown","","9000"
"category-featured-images","unknown","","3000"
"category-icon","unknown","","10000"
"category-page-icons","unknown","","0"
"category-pagination-fix","unknown","","5000"
"category-post-list-widget","unknown","","6000"
"category-posts","likely_yes","Existing functionality works in Gutenberg","90000"
"category-posts-in-custom-menu","unknown","","7000"
"category-seo-meta-tags","unknown","","6000"
"category-specific-rss-feed-menu","unknown","","9000"
"category-sticky-post","unknown","","8000"
"category-tag-pages","unknown","","8000"
"category-thumbnails","unknown","","3000"
"category-to-pages-wud","unknown","","5000"
"categorytinymce","unknown","","10000"
"cb-change-mail-sender","unknown","","10000"
"cbnet-multi-author-comment-notification","unknown","","4000"
"cbnet-ping-optimizer","unknown","","20000"
"cc-child-pages","unknown","","7000"
"cc-coming-soon","likely_yes","Doesn't include editor functionality","10000"
"cc-cookie-consent","unknown","","5000"
"ccavanue-woocommerce-payment-getway","unknown","","4000"
"cdn-enabler","unknown","","10000"
"ce-wp-menu-per-page","unknown","","0"
"cf7-conditional-fields","unknown","","40000"
"cf7-customizer","unknown","","10000"
"cf7-database","likely_yes","Doesn't include editor functionality","10000"
"cf7-google-analytics","likely_yes","Doesn't include editor functionality","4000"
"cf7-google-sheets-connector","unknown","","6000"
"cf7-polylang","unknown","","4000"
"cf7-widget-elementor","unknown","","10000"
"cforms","unknown","","0"
"cforms2","unknown","","10000"
"cgc-maintenance-mode","likely_yes","Doesn't include editor functionality","4000"
"change-author","unknown","","6000"
"change-default-login-logo-url-and-title","likely_yes","Doesn't include editor functionality","3000"
"change-memory-limit","unknown","","6000"
"change-table-prefix","unknown","","3000"
"change-woocommerce-add-to-cart-button-text","unknown","","3000"
"chap-secure-login","likely_yes","Doesn't include editor functionality","3000"
